new_url,lang,url_type,index_status,included_in_current_sitemap,canonical_target,source,entity_id,entity_slug,old_url,redirect_target,redirect_type,migration_status,priority,notes
https://blancareal.com/de/,de,home,indexable,yes,https://blancareal.com/de/,static_route,/de/,,,,,pending_legacy_mapping,critical,Homepage per language.
https://blancareal.com/de/__future-service-slug__/,de,service,excluded_public,no,,manual_future_template,,__template__,,,,template_pending,planned,Future public service or corporate page template row.
https://blancareal.com/de/about/,de,core,indexable,no,https://blancareal.com/de/about/,static_route,/de/about/,about,,,,pending_legacy_mapping,medium,Corporate about page; public but not currently in sitemap.
https://blancareal.com/de/agents/,de,agent_index,indexable,yes,https://blancareal.com/de/agents/,static_route,/de/agents/,agents,,,,pending_legacy_mapping,high,Agent directory index.
https://blancareal.com/de/agents/__future-agent-slug__/,de,agent_detail,excluded_public,no,,manual_future_template,,__template__,,,,template_pending,planned,Future agent detail template row.
https://blancareal.com/de/agents/carlos/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/carlos/,team_data,carlos,carlos,,,,pending_legacy_mapping,medium,team_category=marketing
https://blancareal.com/de/agents/cristian/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/cristian/,team_data,cristian,cristian,,,,pending_legacy_mapping,medium,team_category=investments
https://blancareal.com/de/agents/cristobal/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/cristobal/,team_data,cristobal,cristobal,,,,pending_legacy_mapping,medium,team_category=marketing
https://blancareal.com/de/agents/eva/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/eva/,team_data,eva,eva,,,,pending_legacy_mapping,medium,team_category=commercial
https://blancareal.com/de/agents/marcelo/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/marcelo/,team_data,marcelo,marcelo,,,,pending_legacy_mapping,medium,team_category=commercial
https://blancareal.com/de/agents/maria/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/maria/,team_data,maria,maria,,,,pending_legacy_mapping,medium,team_category=legal
https://blancareal.com/de/agents/natascha/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/natascha/,team_data,natascha,natascha,,,,pending_legacy_mapping,medium,team_category=commercial
https://blancareal.com/de/agents/noemi/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/noemi/,team_data,noemi,noemi,,,,pending_legacy_mapping,medium,team_category=legal
https://blancareal.com/de/agents/rafa/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/rafa/,team_data,rafa,rafa,,,,pending_legacy_mapping,medium,team_category=marketing
https://blancareal.com/de/agents/santiago/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/santiago/,team_data,santiago,santiago,,,,pending_legacy_mapping,medium,team_category=marketing
https://blancareal.com/de/agents/tanis/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/tanis/,team_data,tanis,tanis,,,,pending_legacy_mapping,medium,team_category=investments
https://blancareal.com/de/agents/xavier-de-hennin/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/xavier-de-hennin/,team_data,xavier-de-hennin,xavier-de-hennin,,,,pending_legacy_mapping,medium,team_category=ceo
https://blancareal.com/de/agents/yolanda/,de,agent_detail,indexable,yes,https://blancareal.com/de/agents/yolanda/,team_data,yolanda,yolanda,,,,pending_legacy_mapping,medium,team_category=commercial
