old_url,old_title,old_type,old_language,old_inlinks,keep_candidate,new_url_candidate,match_confidence,priority_reason,manual_review_required
https://www.blancareal.com/property/newly-built-apartments-fuengirola-costa-del-sol/,"NEWLY BUILT APARTMENTS FUENGIROLA, COSTA DEL SOL | BlancaReal",property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/newly-built-appartments-fuengirola-costa-del-sol/,"NEWLY BUILT APARTMENTS FUENGIROLA, COSTA DEL SOL | BlancaReal",property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/commercial-property-la-cala-de-mijas-centre/,START YOUR RESTAURANT IN COSTA DEL SOL | BlancaReal,property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/exclusive-luxury-villas-project-with-sea-views-in-mijas/,EXCLUSIVE LUXURIOUS VILLAS PROJECT WITH SEA VIEWS IN MIJAS | BlancaReal,property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/newly-built-3-bedrooms-apartments-fuengirola-costa-del-sol/,"NEWLY BUILT 3 BEDROOMS APARTMENTS FUENGIROLA, COSTA DEL SOL | BlancaReal",property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/penthouse-with-private-pool-for-sale-in-estepona/,3-4 BEDS PENTHOUSE ESTEPONA CLOSE TO THE BEACH | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/flats-in-fuengirola/,New Build Flats in Fuengirola | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/houses-for-sale-fuengirola/,"EXCLUSIVE APARTMENTS FUENGIROLA CENTRE, COSTA DEL SOL | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/new-construction-villas-with-sea-views-in-manilva/,NEW CONSTRUCTION VILLAS WITH SEA VIEWS IN MANILVA | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/majestic-villas-with-sea-views-in-mijas-costa-del-sol/,MAJESTIC VILLAS WITH SEA VIEWS IN MIJAS | COSTA DEL SOL | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/3-bedroom-flat-in-estepona/,3 BEDROOM APARTMENTS ESTEPONA BEACH AT 5 MINUTS | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/2-bedroom-flat-in-estepona/,2 BEDROOM APARTMENT ESTEPONA | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/villa-for-sale-in-marbella/,Palo Alto Ojén Marbella | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/new-development-apartments-estepona-costa-del-sol/,"NEW DEVELOPMENT APARTMENTS ESTEPONA, COSTA DEL SOL | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/luxury-flat-with-sea-view-in-marbella-2/,LUXURY APARTMENT WITH SEA VIEW IN MARBELLA | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
