old_url,old_title,old_status,old_indexable,old_inlinks,old_type,old_language,keep_candidate,reason,new_url_candidate,match_confidence,notes
https://www.blancareal.com/,BlancaReal: Luxury Properties on the Costa del Sol 🏡☀️,200,true,145,home,en,yes,Primary homepage candidate.,https://blancareal.com/en/,high,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Legacy root home.
https://www.blancareal.com/blog/,Blog | BlancaReal,200,true,157,blog_index,en,yes,Public editorial index page.,https://blancareal.com/en/posts/,high,Legacy blog index.
https://www.blancareal.com/our-developments/,Our Developments | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,https://blancareal.com/en/projects/,high,Has obvious duplicate alias(es): https://www.blancareal.com/our-developments-2/. Legacy developments index.
https://www.blancareal.com/contact/,Contact | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,https://blancareal.com/en/contact/,high,Has obvious duplicate alias(es): https://www.blancareal.com/contact-blancareal-costadel-sol/. Legacy contact page.
https://www.blancareal.com/faqs/,FAQs | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,,,
https://www.blancareal.com/new-construction/,New construction | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,,,
https://www.blancareal.com/services/,Services | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,,,
https://www.blancareal.com/luxury-villas/,Luxury villas | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,,,
https://www.blancareal.com/second-hand/,Second hand | BlancaReal,200,true,141,service_page,en,yes,Business or transactional landing page.,,,Has obvious duplicate alias(es): https://www.blancareal.com/second-hand-2/.
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,We sell your home! Professional mediation with in-house legal services and marketing | BlancaReal,200,true,33,other,en,yes,Informational or business content page worth manual migration review.,https://blancareal.com/en/post/sell-your-home-blancareal/,high,Legacy post slug mapped through explicit alias (sell-your-home-blancareal).
https://www.blancareal.com/property/sea-view-penthouse-arenal-golf-double-parking-storage/,Exterior Home with Sea Views in Arenal Golf – Double Parking & Storage Room | BlancaReal,200,true,35,property,en,yes,Property detail or property-related landing page.,,,
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,How can I legally rent my property to tourists in Andalusia? | BlancaReal,200,true,33,other,en,yes,Informational or business content page worth manual migration review.,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,high,Legacy post slug mapped through explicit alias (rent-your-home-to-tourists-andalucia).
